Model,Best Threshold,Accuracy,Precision,Recall,F1,ROC-AUC,Training Time (s)
MLP,0.05,0.75516,0.7009893503056274,0.88992,0.7842363142867215,0.8540406047999999,122.67089939117432
LSTM,0.06818181818181818,0.80652,0.7367900624188863,0.95376,0.8313517659774764,0.9284008544,455.2036554813385
GRU,0.05,0.84836,0.813611811307166,0.90376,0.8563198787189691,0.9317312224,722.6246385574341
