Model,Accuracy,Precision,Recall,F1,ROC-AUC,Training Time (s)
MLP,0.77364,0.7784743140926483,0.76496,0.7716579913650486,0.8540406047999999,122.67089939117432
LSTM,0.85616,0.8624816805080606,0.84744,0.8548946816237591,0.9284008544,455.2036554813385
GRU,0.85128,0.8934587813620072,0.79768,0.8428571428571429,0.9317312224,722.6246385574341
